title,score,date,airline,source
"""they need to pay me 600Eur""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""there is no service from attendants""",1.5,2023-06-01,LUFTHANSA,SKYTRAX
"""Boarding procedures chaotic""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""A very pleasant flight""",5,2023-06-01,LUFTHANSA,SKYTRAX
"""Service onboard was friendly""",4,2022-09-01,LUFTHANSA,SKYTRAX
"""flight experience Lufthansa was good""",4,2022-09-01,LUFTHANSA,SKYTRAX
"""asked me to pay for my carry on luggage""",1.5,2023-06-01,LUFTHANSA,SKYTRAX
"""Absolutely pathetic experience""",1,2023-06-01,LUFTHANSA,SKYTRAX
"!frequent flyer programme atrocious""",2.5,2022-12-01,LUFTHANSA,SKYTRAX
"""Very disappointing and infuriating""",1,2022-10-01,LUFTHANSA,SKYTRAX
"""not take any responsibility for this""",1.5,2023-05-01,LUFTHANSA,SKYTRAX
"""Staff unfriendly and abrupt""",1,2023-06-01,LUFTHANSA,SKYTRAX
"""Real problem was the luggage""",0.5,2023-05-01,LUFTHANSA,SKYTRAX
"""would not recommend travelling with Lufthansa""",0.5,2023-06-01,LUFTHANSA,SKYTRAX
"""lacking the premium experience""",2,2023-05-01,LUFTHANSA,SKYTRAX
"""not given the special meal""",0.5,2023-04-01,LUFTHANSA,SKYTRAX
"""lack of service from their staff""",2.5,2023-05-01,LUFTHANSA,SKYTRAX
"""Really bad service""",1,2023-05-01,LUFTHANSA,SKYTRAX
"""they have practised cost cutting""",1,2023-05-01,LUFTHANSA,SKYTRAX
"""Very disappointed with Lufthansa""",1.5,2023-04-01,LUFTHANSA,SKYTRAX
"""simply playing some games""",0.5,2022-12-01,LUFTHANSA,SKYTRAX
"""I will not fly with them again""",1,2023-05-01,LUFTHANSA,SKYTRAX
"""Well done Lufthansa""",5,2023-05-01,LUFTHANSA,SKYTRAX
"""some parts could be improved""",4,2023-04-01,LUFTHANSA,SKYTRAX
"""I will not use this carrier again""",1.5,2023-05-01,LUFTHANSA,SKYTRAX
"""compensation was not entertained""",1.5,2023-05-01,LUFTHANSA,SKYTRAX
"""I never will fly with them again""",1.5,2023-05-01,LUFTHANSA,SKYTRAX
"""basinet seat is overbooked""",1.5,2023-05-01,LUFTHANSA,SKYTRAX
"""Worse travel and customer experience""",0.5,2022-08-01,LUFTHANSA,SKYTRAX
"""definitely not worth it""",1.5,2023-05-01,LUFTHANSA,SKYTRAX
"""pay for food in a premium airline""",2.5,2023-05-01,LUFTHANSA,SKYTRAX
